_id,operator_registration_number,postal_code,ward_number,ward_name
104789,STR-2012-GKKRVF,M5V,10.0,Spadina-Fort York
104790,STR-2012-FRPHHC,M6H,9.0,Davenport
104791,STR-2102-HRCRVK,M5V,10.0,Spadina-Fort York
104792,STR-2111-HWGHHL,M2M,18.0,Willowdale
104793,STR-2203-FYTKVD,M8V,3.0,Etobicoke-Lakeshore
104794,STR-2104-HWRXVL,M5V,10.0,Spadina-Fort York
104795,STR-2107-HDQVHJ,M6N,9.0,Davenport
104796,STR-2009-HSFVBL,M9B,3.0,Etobicoke-Lakeshore
104797,STR-2009-FVRPBD,M6G,11.0,University-Rosedale
104798,STR-2009-GCXPBF,M1L,20.0,Scarborough Southwest
104799,STR-2009-GLDPBG,M6J,9.0,Davenport
104800,STR-2009-GTKPBH,M6J,11.0,University-Rosedale
104801,STR-2009-HJXPBK,M4R,8.0,Eglinton-Lawrence
104802,STR-2009-HSDPBL,M6J,10.0,Spadina-Fort York
104803,STR-2009-HZKPBM,M6N,9.0,Davenport
104804,STR-2009-FFFVBB,M6R,4.0,Parkdale-High Park
104805,STR-2009-GCYVBF,M8Y,3.0,Etobicoke-Lakeshore
104806,STR-2009-HZLVBM,M2L,15.0,Don Valley West
104807,STR-2009-FFWHBB,M1T,22.0,Scarborough-Agincourt
104808,STR-2009-FPCHBC,M5A,13.0,Toronto Centre
104809,STR-2009-GDQHBF,M4G,15.0,Don Valley West
104810,STR-2009-GLWHBG,M5J,10.0,Spadina-Fort York
104811,STR-2009-GVCHBH,M2N,18.0,Willowdale
104812,STR-2009-GFFVBF,M5V,10.0,Spadina-Fort York
104813,STR-2009-GMLVBG,M6J,10.0,Spadina-Fort York
104814,STR-2009-GVSVBH,M5T,10.0,Spadina-Fort York
104815,STR-2009-HLFVBK,M6G,12.0,Toronto-St. Paul's
104816,STR-2009-JBSVBM,M4V,12.0,Toronto-St. Paul's
104817,STR-2009-FHCHBB,M8Z,3.0,Etobicoke-Lakeshore
104818,STR-2009-GWJHBH,M3H,6.0,York Centre
104819,STR-2009-HLWHBK,M5J,10.0,Spadina-Fort York
104820,STR-2011-FYXRVD,M5V,10.0,Spadina-Fort York
104821,STR-2009-FHSVBB,M4J,14.0,Toronto-Danforth
104822,STR-2009-FQYVBC,M4L,19.0,Beaches-East York
104823,STR-2009-FYFVBD,M5V,10.0,Spadina-Fort York
104824,STR-2009-GGLVBF,M1E,24.0,Scarborough-Guildwood
104825,STR-2009-GPSVBG,M5S,11.0,University-Rosedale
104826,STR-2009-HMLVBK,M6J,10.0,Spadina-Fort York
104827,STR-2009-FYWHBD,M6B,8.0,Eglinton-Lawrence
104828,STR-2009-GHCHBF,M5V,10.0,Spadina-Fort York
104829,STR-2009-HFWHBJ,M5J,10.0,Spadina-Fort York
104830,STR-2009-HPCHBK,M5V,10.0,Spadina-Fort York
104831,STR-2009-HWJHBL,M5A,13.0,Toronto Centre
104832,STR-2009-JDQHBM,M5R,11.0,University-Rosedale
104833,STR-2009-GHSVBF,M3J,7.0,Humber River-Black Creek
104834,STR-2009-GQYVBG,M4W,11.0,University-Rosedale
104835,STR-2009-GYFVBH,M6B,8.0,Eglinton-Lawrence
104836,STR-2009-HWYVBL,M5V,10.0,Spadina-Fort York
104837,STR-2009-JFFVBM,M2M,18.0,Willowdale
104838,STR-2009-FKQHBB,M1L,20.0,Scarborough Southwest
104839,STR-2009-FSWHBC,M6G,12.0,Toronto-St. Paul's
104840,STR-2009-GJJHBF,M6E,8.0,Eglinton-Lawrence
104841,STR-2009-GRQHBG,M5A,13.0,Toronto Centre
104842,STR-2009-GYWHBH,M4L,14.0,Toronto-Danforth
104843,STR-2009-HHCHBJ,M2H,17.0,Don Valley North
104844,STR-2009-HQJHBK,M3L,7.0,Humber River-Black Creek
104845,STR-2009-HXQHBL,M6E,9.0,Davenport
104846,STR-2009-JFWHBM,M5B,13.0,Toronto Centre
104847,STR-2009-FLFVBB,M5R,11.0,University-Rosedale
104848,STR-2009-FTLVBC,M2J,17.0,Don Valley North
104849,STR-2009-GBSVBD,M5R,11.0,University-Rosedale
104850,STR-2009-JGLVBM,M6P,4.0,Parkdale-High Park
104851,STR-2009-FDQKPB,M6H,9.0,Davenport
104852,STR-2009-FLWKPC,M5V,10.0,Spadina-Fort York
104853,STR-2009-GCJKPF,M8W,3.0,Etobicoke-Lakeshore
104854,STR-2009-GSWKPH,M2N,18.0,Willowdale
104855,STR-2009-HBCKPJ,M6G,11.0,University-Rosedale
104856,STR-2009-FFFXPB,M9B,3.0,Etobicoke-Lakeshore
104857,STR-2009-FMLXPC,M4J,14.0,Toronto-Danforth
104858,STR-2009-FVSXPD,M5J,10.0,Spadina-Fort York
104859,STR-2009-HJYXPK,M1P,21.0,Scarborough Centre
104860,STR-2009-HZLXPM,M6G,12.0,Toronto-St. Paul's
104861,STR-2009-GLWKPG,M5J,10.0,Spadina-Fort York
104862,STR-2009-GVCKPH,M1N,20.0,Scarborough Southwest
104863,STR-2009-HSWKPL,M5V,10.0,Spadina-Fort York
104864,STR-2009-FPSXPC,M4S,12.0,Toronto-St. Paul's
104865,STR-2009-FWYXPD,M6G,12.0,Toronto-St. Paul's
104866,STR-2009-GFFXPF,M2H,17.0,Don Valley North
104867,STR-2009-HCYXPJ,M6J,9.0,Davenport
104868,STR-2009-HLFXPK,M9W,1.0,Etobicoke North
104869,STR-2009-GPCKPG,M1V,23.0,Scarborough North
104870,STR-2009-GWJKPH,M5V,10.0,Spadina-Fort York
104871,STR-2111-FKQXVB,M5G,11.0,University-Rosedale
104872,STR-2009-HLWKPK,M5V,10.0,Spadina-Fort York
104873,STR-2009-JCJKPM,M5A,13.0,Toronto Centre
104874,STR-2009-FHSXPB,M6R,4.0,Parkdale-High Park
104875,STR-2009-GGLXPF,M4Y,13.0,Toronto Centre
104876,STR-2009-GWYXPH,M6P,4.0,Parkdale-High Park
104877,STR-2009-HFFXPJ,M8V,3.0,Etobicoke-Lakeshore
104878,STR-2009-JCYXPM,M5A,13.0,Toronto Centre
104879,STR-2009-GHCKPF,M4S,12.0,Toronto-St. Paul's
104880,STR-2009-GQJKPG,M9C,2.0,Etobicoke Centre
104881,STR-2009-GXQKPH,M4C,19.0,Beaches-East York
104882,STR-2009-HFWKPJ,M5A,13.0,Toronto Centre
104883,STR-2009-HPCKPK,M9C,2.0,Etobicoke Centre
104884,STR-2009-FSFXPC,M1N,20.0,Scarborough Southwest
104885,STR-2009-FZLXPD,M2N,18.0,Willowdale
104886,STR-2009-GQYXPG,M9P,2.0,Etobicoke Centre
104887,STR-2009-HGLXPJ,M6M,5.0,York South-Weston
104888,STR-2009-HWYXPL,M4Y,13.0,Toronto Centre
104889,STR-2009-FSWKPC,M5B,13.0,Toronto Centre
104890,STR-2009-GBCKPD,M6M,5.0,York South-Weston
104891,STR-2009-GYWKPH,M4M,14.0,Toronto-Danforth
104892,STR-2009-HHCKPJ,M1R,21.0,Scarborough Centre
104893,STR-2009-HXQKPL,M5S,13.0,Toronto Centre
104894,STR-2009-JFWKPM,M6G,11.0,University-Rosedale
104895,STR-2009-FLFXPB,M6A,8.0,Eglinton-Lawrence
104896,STR-2009-FTLXPC,M1B,25.0,Scarborough-Rouge Park
104897,STR-2009-GBSXPD,M6H,9.0,Davenport
104898,STR-2009-GJYXPF,M1N,20.0,Scarborough Southwest
104899,STR-2009-HZPDPM,M1E,24.0,Scarborough-Guildwood
104900,STR-2009-GZLXPH,M4M,14.0,Toronto-Danforth
104901,STR-2009-HHSXPJ,M6H,9.0,Davenport
104902,STR-2009-HQYXPK,M5V,10.0,Spadina-Fort York
104903,STR-2009-HYFXPL,M1P,21.0,Scarborough Centre
104904,STR-2009-GKRRPG,M6R,4.0,Parkdale-High Park
104905,STR-2009-GSXRPH,M5A,13.0,Toronto Centre
104906,STR-2009-HJKRPK,M5M,8.0,Eglinton-Lawrence
104907,STR-2009-HYXRPM,M9W,1.0,Etobicoke North
104908,STR-2012-HHGBHJ,M6J,9.0,Davenport
104909,STR-2009-GDBDPF,M1N,20.0,Scarborough Southwest
104910,STR-2009-GLHDPG,M6P,9.0,Davenport
104911,STR-2009-GTPDPH,M2M,18.0,Willowdale
104912,STR-2009-HKBDPK,M1T,22.0,Scarborough-Agincourt
104913,STR-2009-FPDRPC,M2K,17.0,Don Valley North
104914,STR-2009-GDRRPF,M6J,9.0,Davenport
104915,STR-2009-GLXRPG,M6J,10.0,Spadina-Fort York
104916,STR-2009-GVDRPH,M1L,20.0,Scarborough Southwest
104917,STR-2009-HCKRPJ,M6N,9.0,Davenport
104918,STR-2009-JBDRPM,M6R,4.0,Parkdale-High Park
104919,STR-2009-FPVDPC,M4A,16.0,Don Valley East
104920,STR-2009-GMPDPG,M6P,4.0,Parkdale-High Park
104921,STR-2009-GVVDPH,M1E,25.0,Scarborough-Rouge Park
104922,STR-2009-HTPDPL,M5A,13.0,Toronto Centre
104923,STR-2009-JBVDPM,M9C,2.0,Etobicoke Centre
104924,STR-2009-FHDRPB,M6C,12.0,Toronto-St. Paul's
104925,STR-2009-FXRRPD,M6J,10.0,Spadina-Fort York
104926,STR-2009-GPDRPG,M9P,2.0,Etobicoke Centre
104927,STR-2009-HDRRPJ,M4J,14.0,Toronto-Danforth
104928,STR-2009-HLXRPK,M2K,17.0,Don Valley North
104929,STR-2009-HVDRPL,M9W,1.0,Etobicoke North
104930,STR-2009-JCKRPM,M2M,18.0,Willowdale
104931,STR-2009-FHVDPB,M4M,14.0,Toronto-Danforth
104932,STR-2009-FYHDPD,M8V,3.0,Etobicoke-Lakeshore
104933,STR-2009-GGPDPF,M4Y,13.0,Toronto Centre
104934,STR-2009-GPVDPG,M1B,23.0,Scarborough North
104935,STR-2009-GXBDPH,M4A,16.0,Don Valley East
104936,STR-2009-HFHDPJ,M6J,10.0,Spadina-Fort York
104937,STR-2009-HMPDPK,M6R,4.0,Parkdale-High Park
104938,STR-2009-HVVDPL,M6G,11.0,University-Rosedale
104939,STR-2009-GHDRPF,M5V,10.0,Spadina-Fort York
104940,STR-2009-GQKRPG,M6J,10.0,Spadina-Fort York
104941,STR-2009-GXRRPH,M4X,13.0,Toronto Centre
104942,STR-2009-HPDRPK,M6S,4.0,Parkdale-High Park
104943,STR-2009-HWKRPL,M8Z,3.0,Etobicoke-Lakeshore
104944,STR-2009-JDRRPM,M3B,16.0,Don Valley East
104945,STR-2009-FKBDPB,M4M,14.0,Toronto-Danforth
104946,STR-2009-GRBDPG,M4C,19.0,Beaches-East York
104947,STR-2009-GYHDPH,M1S,22.0,Scarborough-Agincourt
104948,STR-2009-HGPDPJ,M1W,22.0,Scarborough-Agincourt
104949,STR-2009-HPVDPK,M4M,14.0,Toronto-Danforth
104950,STR-2009-FKRRPB,M6J,10.0,Spadina-Fort York
104951,STR-2009-FSXRPC,M5J,10.0,Spadina-Fort York
104952,STR-2009-GBDRPD,M5A,10.0,Spadina-Fort York
104953,STR-2009-GRRRPG,M5A,13.0,Toronto Centre
104954,STR-2009-GYXRPH,M2K,17.0,Don Valley North
104955,STR-2009-HXRRPL,M6S,4.0,Parkdale-High Park
104956,STR-2009-JFXRPM,M6E,9.0,Davenport
104957,STR-2009-GBVDPD,M5R,11.0,University-Rosedale
104958,STR-2009-GSHDPG,M5J,10.0,Spadina-Fort York
104959,STR-2009-HHVDPJ,M5V,10.0,Spadina-Fort York
104960,STR-2009-HRBDPK,M2J,17.0,Don Valley North
104961,STR-2009-FDSXPB,M2H,17.0,Don Valley North
104962,STR-2009-FLYXPC,M4M,14.0,Toronto-Danforth
104963,STR-2009-FVFXPD,M8Z,3.0,Etobicoke-Lakeshore
104964,STR-2009-GCLXPF,M1J,21.0,Scarborough Centre
104965,STR-2009-GSYXPH,M4S,12.0,Toronto-St. Paul's
104966,STR-2009-HBFXPJ,M1T,22.0,Scarborough-Agincourt
104967,STR-2101-FDPKVB,M5A,13.0,Toronto Centre
104968,STR-2009-FFJKPB,M6K,10.0,Spadina-Fort York
104969,STR-2009-FMQKPC,M9W,1.0,Etobicoke North
104970,STR-2009-FVWKPD,M6N,5.0,York South-Weston
104971,STR-2009-GDCKPF,M1E,25.0,Scarborough-Rouge Park
104972,STR-2009-GLJKPG,M1J,24.0,Scarborough-Guildwood
104973,STR-2009-GTQKPH,M5R,11.0,University-Rosedale
104974,STR-2009-HBWKPJ,M6H,9.0,Davenport
104975,STR-2009-HZQKPM,M2J,17.0,Don Valley North
104976,STR-2009-FWLXPD,M3M,6.0,York Centre
104977,STR-2009-GDSXPF,M1W,22.0,Scarborough-Agincourt
104978,STR-2009-GVFXPH,M4G,15.0,Don Valley West
104979,STR-2009-HCLXPJ,M4L,14.0,Toronto-Danforth
104980,STR-2009-HKSXPK,M5J,10.0,Spadina-Fort York
104981,STR-2009-HSYXPL,M1R,21.0,Scarborough Centre
104982,STR-2009-FGQKPB,M5A,13.0,Toronto Centre
104983,STR-2009-FPWKPC,M4W,11.0,University-Rosedale
104984,STR-2009-GMQKPG,M5R,11.0,University-Rosedale
104985,STR-2009-GVWKPH,M4W,11.0,University-Rosedale
104986,STR-2009-HDCKPJ,M4A,16.0,Don Valley East
104987,STR-2009-JBWKPM,M6S,4.0,Parkdale-High Park
104988,STR-2009-FHFXPB,M1E,24.0,Scarborough-Guildwood
104989,STR-2009-FXSXPD,M8W,3.0,Etobicoke-Lakeshore
104990,STR-2009-GWLXPH,M1S,22.0,Scarborough-Agincourt
104991,STR-2009-JCLXPM,M6P,4.0,Parkdale-High Park
104992,STR-2009-FRCKPC,M4L,14.0,Toronto-Danforth
104993,STR-2009-GPWKPG,M2N,18.0,Willowdale
104994,STR-2009-GXCKPH,M4L,19.0,Beaches-East York
104995,STR-2009-HMQKPK,M4C,19.0,Beaches-East York
104996,STR-2009-HVWKPL,M5H,10.0,Spadina-Fort York
104997,STR-2009-JDCKPM,M6J,11.0,University-Rosedale
104998,STR-2009-FJLXPB,M4K,14.0,Toronto-Danforth
104999,STR-2009-FYYXPD,M1T,22.0,Scarborough-Agincourt
105000,STR-2009-GHFXPF,M5S,11.0,University-Rosedale
105001,STR-2009-GQLXPG,M2N,18.0,Willowdale
105002,STR-2009-HWLXPL,M3J,7.0,Humber River-Black Creek
105003,STR-2010-FSJKPC,M4K,14.0,Toronto-Danforth
105004,STR-2010-FZQKPD,M3L,6.0,York Centre
105005,STR-2010-GRCKPG,M5T,11.0,University-Rosedale
105006,STR-2010-GYJKPH,M4Y,13.0,Toronto Centre
105007,STR-2010-HPWKPK,M4L,19.0,Beaches-East York
105008,STR-2010-HXCKPL,M6E,9.0,Davenport
105009,STR-2010-FKSXPB,M6R,4.0,Parkdale-High Park
105010,STR-2010-FSYXPC,M3H,6.0,York Centre
105011,STR-2010-GBFXPD,M6J,9.0,Davenport
105012,STR-2010-GJLXPF,M5J,10.0,Spadina-Fort York
105013,STR-2101-FHTDVB,M2M,18.0,Willowdale
105014,STR-2010-HHFXPJ,M5B,13.0,Toronto Centre
105015,STR-2010-JFYXPM,M1R,21.0,Scarborough Centre
105016,STR-2010-FTQKPC,M1B,25.0,Scarborough-Rouge Park
105017,STR-2010-GBWKPD,M4S,12.0,Toronto-St. Paul's
105018,STR-2010-GSJKPG,M6J,10.0,Spadina-Fort York
105019,STR-2010-GZQKPH,M5A,10.0,Spadina-Fort York
105020,STR-2010-HHWKPJ,M6J,11.0,University-Rosedale
105021,STR-2010-FMBDPC,M5H,10.0,Spadina-Fort York
105022,STR-2010-FVHDPD,M1N,20.0,Scarborough Southwest
105023,STR-2010-GTBDPH,M6H,9.0,Davenport
105024,STR-2010-HRVDPL,M6C,12.0,Toronto-St. Paul's
105025,STR-2010-FMRRPC,M6P,4.0,Parkdale-High Park
105026,STR-2010-FVXRPD,M1W,22.0,Scarborough-Agincourt
105027,STR-2010-GTRRPH,M6K,10.0,Spadina-Fort York
105028,STR-2010-HKDRPK,M4Y,11.0,University-Rosedale
105029,STR-2010-GMBDPG,M5J,10.0,Spadina-Fort York
105030,STR-2010-HTBDPL,M8V,3.0,Etobicoke-Lakeshore
105031,STR-2010-HXDRPL,M4C,19.0,Beaches-East York
105032,STR-2010-GMRRPG,M2J,17.0,Don Valley North
105033,STR-2010-HDDRPJ,M6J,9.0,Davenport
105034,STR-2010-HTRRPL,M6K,9.0,Davenport
105035,STR-2010-FXVDPD,M1N,20.0,Scarborough Southwest
105036,STR-2010-GPHDPG,M2J,17.0,Don Valley North
105037,STR-2010-GWPDPH,M6R,4.0,Parkdale-High Park
105038,STR-2010-FRDRPC,M1S,23.0,Scarborough North
105039,STR-2010-GGRRPF,M5J,10.0,Spadina-Fort York
105040,STR-2010-GPXRPG,M5J,10.0,Spadina-Fort York
105041,STR-2010-GXDRPH,M6P,4.0,Parkdale-High Park
105042,STR-2010-HFKRPJ,M5R,11.0,University-Rosedale
105043,STR-2010-JDDRPM,M1L,20.0,Scarborough Southwest
105044,STR-2010-FRVDPC,M6J,10.0,Spadina-Fort York
105045,STR-2010-GXVDPH,M4H,15.0,Don Valley West
105046,STR-2010-HPHDPK,M1B,23.0,Scarborough North
105047,STR-2010-HWPDPL,M9A,3.0,Etobicoke-Lakeshore
105048,STR-2010-FKDRPB,M6R,4.0,Parkdale-High Park
105049,STR-2010-FSKRPC,M1M,20.0,Scarborough Southwest
105050,STR-2010-FZRRPD,M9B,3.0,Etobicoke-Lakeshore
105051,STR-2010-GHXRPF,M6G,11.0,University-Rosedale
105052,STR-2010-HGRRPJ,M5V,10.0,Spadina-Fort York
105053,STR-2010-HPXRPK,M5M,8.0,Eglinton-Lawrence
105054,STR-2010-JFKRPM,M3N,7.0,Humber River-Black Creek
105055,STR-2010-FKVDPB,M9C,2.0,Etobicoke Centre
105056,STR-2010-GJPDPF,M5H,10.0,Spadina-Fort York
105057,STR-2010-HHHDPJ,M4K,14.0,Toronto-Danforth
105058,STR-2010-HQPDPK,M5V,10.0,Spadina-Fort York
105059,STR-2010-JGBDPM,M5V,10.0,Spadina-Fort York
105060,STR-2010-FLKRPB,M6K,9.0,Davenport
105061,STR-2010-GSKRPG,M5V,10.0,Spadina-Fort York
105062,STR-2010-HHXRPJ,M6J,9.0,Davenport
105063,STR-2010-JGRRPM,M4M,14.0,Toronto-Danforth
105064,STR-2010-FDWKPB,M6K,4.0,Parkdale-High Park
105065,STR-2010-FMCKPC,M6E,9.0,Davenport
105066,STR-2010-FHYXPB,M6J,10.0,Spadina-Fort York
105067,STR-2010-FVJKPD,M5V,10.0,Spadina-Fort York
105068,STR-2010-GTCKPH,M6P,9.0,Davenport
105069,STR-2010-HBJKPJ,M1G,24.0,Scarborough-Guildwood
105070,STR-2010-HJQKPK,M2K,17.0,Don Valley North
105071,STR-2010-HRWKPL,M5B,13.0,Toronto Centre
105072,STR-2010-FFLXPB,M1W,22.0,Scarborough-Agincourt
105073,STR-2010-FMSXPC,M6S,4.0,Parkdale-High Park
105074,STR-2010-FVYXPD,M4L,14.0,Toronto-Danforth
105075,STR-2010-GLLXPG,M5A,13.0,Toronto Centre
105076,STR-2010-GTSXPH,M1M,20.0,Scarborough Southwest
105077,STR-2010-HKFXPK,M5V,10.0,Spadina-Fort York
105078,STR-2010-FGCKPB,M6H,9.0,Davenport
105079,STR-2010-FWQKPD,M5V,10.0,Spadina-Fort York
105080,STR-2010-GDWKPF,M5S,13.0,Toronto Centre
105081,STR-2010-GMCKPG,M4C,19.0,Beaches-East York
105082,STR-2010-HKWKPK,M6N,5.0,York South-Weston
105083,STR-2010-HTCKPL,M4E,19.0,Beaches-East York
105084,STR-2010-JBJKPM,M4L,19.0,Beaches-East York
105085,STR-2010-FGSXPB,M6N,5.0,York South-Weston
105086,STR-2010-FXFXPD,M1N,20.0,Scarborough Southwest
105087,STR-2010-GFLXPF,M6H,9.0,Davenport
105088,STR-2010-HDFXPJ,M4S,15.0,Don Valley West
105089,STR-2010-HLLXPK,M4X,13.0,Toronto Centre
105090,STR-2010-FQQKPC,M4J,14.0,Toronto-Danforth
105091,STR-2010-FXWKPD,M1H,24.0,Scarborough-Guildwood
105092,STR-2010-GGCKPF,M5A,13.0,Toronto Centre
105093,STR-2010-GPJKPG,M5A,13.0,Toronto Centre
105094,STR-2010-HVJKPL,M3A,16.0,Don Valley East
105095,STR-2010-FYLXPD,M4C,19.0,Beaches-East York
105096,STR-2010-GGSXPF,M6P,9.0,Davenport
105097,STR-2010-GPYXPG,M4C,19.0,Beaches-East York
105098,STR-2010-GXFXPH,M6H,9.0,Davenport
105099,STR-2010-HMSXPK,M6H,9.0,Davenport
105100,STR-2010-GBJKPD,M6R,4.0,Parkdale-High Park
105101,STR-2010-HVYXPL,M5V,10.0,Spadina-Fort York
105102,STR-2010-FJQKPB,M5J,10.0,Spadina-Fort York
105103,STR-2010-GQQKPG,M5J,10.0,Spadina-Fort York
105104,STR-2010-HGCKPJ,M4Y,13.0,Toronto Centre
105105,STR-2010-HWQKPL,M6H,9.0,Davenport
105106,STR-2010-FSLXPC,M6R,4.0,Parkdale-High Park
105107,STR-2010-FZSXPD,M1J,24.0,Scarborough-Guildwood
105108,STR-2010-HPYXPK,M8V,3.0,Etobicoke-Lakeshore
105109,STR-2010-JFLXPM,M5V,10.0,Spadina-Fort York
105110,STR-2010-GRWKPG,M8V,3.0,Etobicoke-Lakeshore
105111,STR-2010-HQQKPK,M9C,2.0,Etobicoke Centre
105112,STR-2010-HXWKPL,M5S,11.0,University-Rosedale
105113,STR-2010-JGCKPM,M1N,20.0,Scarborough Southwest
105114,STR-2010-FTSXPC,M9L,7.0,Humber River-Black Creek
105115,STR-2010-GKFXPF,M6J,10.0,Spadina-Fort York
105116,STR-2010-GSLXPG,M5V,10.0,Spadina-Fort York
105117,STR-2010-GZSXPH,M6G,11.0,University-Rosedale
105118,STR-2010-HHYXPJ,M4K,14.0,Toronto-Danforth
105119,STR-2010-HRFXPK,M4L,19.0,Beaches-East York
105120,STR-2010-JGSXPM,M4Y,13.0,Toronto Centre
105121,STR-2010-FMDRPC,M4N,15.0,Don Valley West
105122,STR-2010-FVKRPD,M6J,10.0,Spadina-Fort York
105123,STR-2010-GKXRPG,M9V,1.0,Etobicoke North
105124,STR-2010-HBKRPJ,M1X,25.0,Scarborough-Rouge Park
105125,STR-2010-HRXRPL,M5J,10.0,Spadina-Fort York
105126,STR-2010-HZDRPM,M5J,10.0,Spadina-Fort York
105127,STR-2010-FFPDPB,M6E,9.0,Davenport
105128,STR-2010-GDHDPF,M5J,10.0,Spadina-Fort York
105129,STR-2010-GLPDPG,M5J,10.0,Spadina-Fort York
105130,STR-2010-GTVDPH,M1R,21.0,Scarborough Centre
105131,STR-2010-HCBDPJ,M6H,9.0,Davenport
105132,STR-2010-HZVDPM,M4L,19.0,Beaches-East York
105133,STR-2010-GGFXPF,M4K,14.0,Toronto-Danforth
105134,STR-2010-GMDRPG,M6R,4.0,Parkdale-High Park
105135,STR-2010-GVKRPH,M5S,11.0,University-Rosedale
105136,STR-2010-HTDRPL,M6M,5.0,York South-Weston
105137,STR-2010-JBKRPM,M5T,11.0,University-Rosedale
105138,STR-2010-FGVDPB,M5B,13.0,Toronto Centre
105139,STR-2010-FQBDPC,M4E,19.0,Beaches-East York
105140,STR-2010-GWBDPH,M1C,25.0,Scarborough-Rouge Park
105141,STR-2010-HDHDPJ,M6J,10.0,Spadina-Fort York
105142,STR-2010-HLPDPK,M1M,20.0,Scarborough Southwest
105143,STR-2010-JCBDPM,M6R,4.0,Parkdale-High Park
105144,STR-2010-FHKRPB,M6B,8.0,Eglinton-Lawrence
105145,STR-2010-GPKRPG,M6K,9.0,Davenport
105146,STR-2010-JCRRPM,M5A,13.0,Toronto Centre
105147,STR-2010-FYPDPD,M5E,10.0,Spadina-Fort York
105148,STR-2010-GGVDPF,M5J,10.0,Spadina-Fort York
105149,STR-2010-GQBDPG,M9B,3.0,Etobicoke-Lakeshore
105150,STR-2010-HFPDPJ,M5J,10.0,Spadina-Fort York
105151,STR-2010-JDHDPM,M3J,7.0,Humber River-Black Creek
105152,STR-2010-FJRRPB,M6H,9.0,Davenport
105153,STR-2010-GHKRPF,M1G,24.0,Scarborough-Guildwood
105154,STR-2010-GQRRPG,M5R,11.0,University-Rosedale
105155,STR-2010-HGDRPJ,M4Y,13.0,Toronto Centre
105156,STR-2010-FKHDPB,M1W,22.0,Scarborough-Agincourt
105157,STR-2010-FSPDPC,M2P,15.0,Don Valley West
105158,STR-2010-FZVDPD,M4L,14.0,Toronto-Danforth
105159,STR-2010-GJBDPF,M8Z,3.0,Etobicoke-Lakeshore
105160,STR-2010-GYPDPH,M1T,22.0,Scarborough-Agincourt
105161,STR-2010-HQBDPK,M6H,9.0,Davenport
105162,STR-2010-HXHDPL,M6K,10.0,Spadina-Fort York
105163,STR-2010-JFPDPM,M6P,9.0,Davenport
105164,STR-2010-FKXRPB,M8V,3.0,Etobicoke-Lakeshore
105165,STR-2010-GBKRPD,M5S,13.0,Toronto Centre
105166,STR-2010-GJRRPF,M4L,19.0,Beaches-East York
105167,STR-2010-GZDRPH,M4J,14.0,Toronto-Danforth
105168,STR-2010-HHKRPJ,M6G,11.0,University-Rosedale
105169,STR-2010-FLPDPB,M6S,4.0,Parkdale-High Park
105170,STR-2010-FTVDPC,M1L,20.0,Scarborough Southwest
105171,STR-2010-GKHDPF,M6J,9.0,Davenport
105172,STR-2010-GSPDPG,M4B,19.0,Beaches-East York
105173,STR-2010-HRHDPK,M5R,11.0,University-Rosedale
105174,STR-2010-HYPDPL,M4L,19.0,Beaches-East York
105175,STR-2010-FDYXPB,M1B,25.0,Scarborough-Rouge Park
105176,STR-2010-FMFXPC,M5J,10.0,Spadina-Fort York
105177,STR-2010-FVLXPD,M5B,13.0,Toronto Centre
105178,STR-2010-HJSXPK,M6R,4.0,Parkdale-High Park
105179,STR-2010-HZFXPM,M6C,12.0,Toronto-St. Paul's
105180,STR-2010-FFQKPB,M6H,9.0,Davenport
105181,STR-2010-FMWKPC,M5V,10.0,Spadina-Fort York
105182,STR-2010-GLQKPG,M4J,14.0,Toronto-Danforth
105183,STR-2010-HCCKPJ,M4Y,13.0,Toronto Centre
105184,STR-2010-HKJKPK,M6P,4.0,Parkdale-High Park
105185,STR-2010-HSQKPL,M1N,20.0,Scarborough Southwest
105186,STR-2010-FGFXPB,M2R,18.0,Willowdale
105187,STR-2010-FPLXPC,M8V,3.0,Etobicoke-Lakeshore
105188,STR-2010-FWSXPD,M1E,24.0,Scarborough-Guildwood
105189,STR-2010-GDYXPF,M1B,25.0,Scarborough-Rouge Park
105190,STR-2010-GVLXPH,M4M,14.0,Toronto-Danforth
105191,STR-2010-HKYXPK,M4S,12.0,Toronto-St. Paul's
105192,STR-2010-JBLXPM,M8V,3.0,Etobicoke-Lakeshore
105193,STR-2010-FGWKPB,M4L,19.0,Beaches-East York
105194,STR-2010-FQCKPC,M5V,10.0,Spadina-Fort York
105195,STR-2010-FXJKPD,M8Y,3.0,Etobicoke-Lakeshore
105196,STR-2010-GFQKPF,M8Y,3.0,Etobicoke-Lakeshore
105197,STR-2010-GWCKPH,M5A,13.0,Toronto Centre
105198,STR-2010-HLQKPK,M4G,15.0,Don Valley West
105199,STR-2010-HTWKPL,M5J,10.0,Spadina-Fort York
105200,STR-2010-JCCKPM,M5V,10.0,Spadina-Fort York
105201,STR-2010-FHLXPB,M5J,10.0,Spadina-Fort York
105202,STR-2010-FQSXPC,M5J,10.0,Spadina-Fort York
105203,STR-2010-GWSXPH,M4B,19.0,Beaches-East York
105204,STR-2010-HDYXPJ,M5V,10.0,Spadina-Fort York
105205,STR-2010-HMFXPK,M1T,22.0,Scarborough-Agincourt
105206,STR-2010-HVLXPL,M4M,14.0,Toronto-Danforth
105207,STR-2010-FJCKPB,M5A,10.0,Spadina-Fort York
