_id,operator_registration_number,postal_code,ward_number,ward_name
108604,STR-2203-FDPVHB,M5V,10.0,Spadina-Fort York
108605,STR-2203-FLVVHC,M4E,19.0,Beaches-East York
108606,STR-2203-GCHVHF,M4P,15.0,Don Valley West
108607,STR-2203-GKPVHG,M1M,20.0,Scarborough Southwest
108608,STR-2203-GSVVHH,M6H,9.0,Davenport
108609,STR-2203-HBBVHJ,M6J,10.0,Spadina-Fort York
108610,STR-2203-HJHVHK,M6G,12.0,Toronto-St. Paul's
108611,STR-2203-HRPVHL,M6J,10.0,Spadina-Fort York
108612,STR-2203-HYVVHM,M2K,17.0,Don Valley North
108613,STR-2203-FFFHHB,M2J,17.0,Don Valley North
108614,STR-2203-FVSHHD,M5J,10.0,Spadina-Fort York
108615,STR-2203-GCYHHF,M4A,16.0,Don Valley East
108616,STR-2203-GLFHHG,M1V,23.0,Scarborough North
108617,STR-2203-GTLHHH,M2P,15.0,Don Valley West
108618,STR-2203-HJYHHK,M4P,15.0,Don Valley West
108619,STR-2203-HSFHHL,M5V,10.0,Spadina-Fort York
108620,STR-2203-HZLHHM,M3C,16.0,Don Valley East
108621,STR-2203-FFVVHB,M6P,4.0,Parkdale-High Park
108622,STR-2203-FPBVHC,M5V,10.0,Spadina-Fort York
108623,STR-2203-FWHVHD,M5V,10.0,Spadina-Fort York
108624,STR-2203-GDPVHF,M8V,3.0,Etobicoke-Lakeshore
108625,STR-2203-GLVVHG,M6P,4.0,Parkdale-High Park
108626,STR-2203-GVBVHH,M2N,18.0,Willowdale
108627,STR-2203-HCHVHJ,M5P,12.0,Toronto-St. Paul's
108628,STR-2203-HKPVHK,M5V,10.0,Spadina-Fort York
108629,STR-2203-HSVVHL,M4Y,13.0,Toronto Centre
108630,STR-2203-FPSHHC,M6J,10.0,Spadina-Fort York
108631,STR-2203-FWYHHD,M6K,10.0,Spadina-Fort York
108632,STR-2203-GFFHHF,M6H,9.0,Davenport
108633,STR-2203-GMLHHG,M5V,10.0,Spadina-Fort York
108634,STR-2203-GVSHHH,M6G,11.0,University-Rosedale
108635,STR-2203-HCYHHJ,M2J,17.0,Don Valley North
108636,STR-2203-HLFHHK,M3C,16.0,Don Valley East
108637,STR-2203-HTLHHL,M5V,10.0,Spadina-Fort York
108638,STR-2203-FHBVHB,M4J,14.0,Toronto-Danforth
108639,STR-2203-FQHVHC,M6E,12.0,Toronto-St. Paul's
108640,STR-2203-FXPVHD,M5G,11.0,University-Rosedale
108641,STR-2203-GFVVHF,M5V,10.0,Spadina-Fort York
108642,STR-2203-GPBVHG,M5B,13.0,Toronto Centre
108643,STR-2203-GWHVHH,M4E,19.0,Beaches-East York
108644,STR-2203-HLVVHK,M6J,10.0,Spadina-Fort York
108645,STR-2203-HVBVHL,M5B,13.0,Toronto Centre
108646,STR-2203-JCHVHM,M1E,25.0,Scarborough-Rouge Park
108647,STR-2203-FQYHHC,M5J,10.0,Spadina-Fort York
108648,STR-2203-GGLHHF,M4L,19.0,Beaches-East York
108649,STR-2203-GPSHHG,M5R,12.0,Toronto-St. Paul's
108650,STR-2203-GWYHHH,M1W,22.0,Scarborough-Agincourt
108651,STR-2203-HFFHHJ,M4Y,13.0,Toronto Centre
108652,STR-2104-FGWRVB,M5T,11.0,University-Rosedale
108653,STR-2203-HMLHHK,M3J,7.0,Humber River-Black Creek
108654,STR-2203-HVSHHL,M4M,14.0,Toronto-Danforth
108655,STR-2203-JCYHHM,M5V,10.0,Spadina-Fort York
108656,STR-2203-FJHVHB,M5V,10.0,Spadina-Fort York
108657,STR-2203-FYVVHD,M2R,18.0,Willowdale
108658,STR-2203-GHBVHF,M4E,19.0,Beaches-East York
108659,STR-2203-GQHVHG,M6G,11.0,University-Rosedale
108660,STR-2203-GXPVHH,M5T,10.0,Spadina-Fort York
108661,STR-2203-HPBVHK,M5S,11.0,University-Rosedale
108662,STR-2203-HWHVHL,M6L,5.0,York South-Weston
108663,STR-2203-FJYHHB,M1C,25.0,Scarborough-Rouge Park
108664,STR-2203-FZLHHD,M5V,10.0,Spadina-Fort York
108665,STR-2203-GHSHHF,M9W,1.0,Etobicoke North
108666,STR-2203-GQYHHG,M4L,14.0,Toronto-Danforth
108667,STR-2203-GYFHHH,M4Y,13.0,Toronto Centre
